Handle,Follow Up Message
@spa_marija,Hey Marija — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Spa Marija is actively focused on right now?
@popular,Hey J&P Wellness and aesthetic — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something J&P Wellness and aesthetic is actively focused on right now?
@vitalitylaserspa,Hey Vitality Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Vitality Spa is actively focused on right now?
@vitalvitawellness,Hey Vital Vita Wellness — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Vital Vita Wellness is actively focused on right now?
@jivamedspabocaraton,Hey Jiva Med Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Jiva Med Spa is actively focused on right now?
@aestheticsatcimahealth,Hey Aesthetics at Cima Health — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Aesthetics at Cima Health is actively focused on right now?
@ashleyswainpermanentmakeup,Hey Ashley Swain Permanent Makeup & Medspa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Ashley Swain Permanent Makeup & Medspa is actively focused on right now?
@mdbeautylabs,Hey MD Beauty Labs — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something MD Beauty Labs is actively focused on right now?
@nouveauhealthwellness,Hey Nouveau Health & Wellness — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Nouveau Health & Wellness is actively focused on right now?
@skinhealthstudios,Hey SkinHealth Studios — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something SkinHealth Studios is actively focused on right now?
@bodyandbeautylab_fl,Hey Body+Beauty Lab — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Body+Beauty Lab is actively focused on right now?
@thealchemyfacialbar,Hey The Alchemy Facial Bar — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something The Alchemy Facial Bar is actively focused on right now?
@me_aestheticsfl,Hey ME Aesthetics — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something ME Aesthetics is actively focused on right now?
@lovelee_4life,Hey Lovelee — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something LoveLee 4Life is actively focused on right now?
@paradiselaserdelray,Hey Paradise Laser Delray — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Paradise Laser Delray is actively focused on right now?
@lormin_medspa,Hey Lormin — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Lormin Med Spa is actively focused on right now?
@renewyoupalmbeach,Hey Renew You Palm Beach — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Renew You Palm Beach is actively focused on right now?
@carte.blancheevents,Hey Carte — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something The Tox is actively focused on right now?
@bodybymarspa,Hey Marspa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Body By Mar Spa is actively focused on right now?
@injectorresha,Hey Zen Luxe Medspa & IV Lounge — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Zen Luxe Medspa & IV Lounge is actively focused on right now?
@skincare_evolution,Hey Evolution — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Skincare Evolution is actively focused on right now?
@relivedelray,Hey Relive — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Relive Delray is actively focused on right now?
@parklandmedspaandwellness,Hey Parkland Medspa & Wellness Center — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Parkland Medspa & Wellness Center is actively focused on right now?
@theparklandinjector,Hey Revive Beauty — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Revive Beauty is actively focused on right now?
@peachbodyclub,Hey Peach Body Club — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Peach Body Club is actively focused on right now?
@glowumedspa,Hey Glowu — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Glow U Med Spa is actively focused on right now?
@serenadayspa,Hey Serena Day Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Serena Day Spa is actively focused on right now?
@agetoperfectionmd,Hey Coral Springs Med Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Coral Springs Med Spa is actively focused on right now?
@freedomwellnessandaesthetics,Hey Freedom Wellness and Aesthetics — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Freedom Wellness and Aesthetics is actively focused on right now?
@botox_betsy,Hey Betsy — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Core Medical Group is actively focused on right now?
@signaturerejuvenationmd,Hey Signature Rejuvenation MD — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Signature Rejuvenation MD is actively focused on right now?
@bocaraton.laserlipo,Hey Boca Raton Laser Lipo — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Boca Raton Laser Lipo is actively focused on right now?
@beauty_ambassade,Hey Ambassade — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Beauty Ambassade is actively focused on right now?
@equilibrio_boca,Hey Equilibrio — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Equilibrio Wellness Spa is actively focused on right now?
@medhouse__,Hey MedHouse — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something MedHouse is actively focused on right now?
@starsmedspa,Hey Stars — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Stars Skincare Medspa is actively focused on right now?
@drgmedspa,Hey Drg — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Dr. G Med Spa is actively focused on right now?
@invictusmedwell,Hey Invictus Medical and Wellness Group — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Invictus Medical and Wellness Group is actively focused on right now?
@glow.infusions,Hey Glow Infusions — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Glow Infusions is actively focused on right now?
@rosefaceandbodyspa,Hey Rose Face and Body Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Rose Face and Body Spa is actively focused on right now?
@delraymedspa,Hey Delray Med Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Delray Med Spa is actively focused on right now?
@lynova_wellness,Hey Lynova — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Lynova Wellness is actively focused on right now?
@explore,Hey Inspo. Medspa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Inspo. Medspa is actively focused on right now?
@hwcabinetco,Hey Spa Me Now — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Spa Me Now is actively focused on right now?
@blueiris_medicalaesthetics,Hey Blueiris — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Blue Iris Medical Aesthetics is actively focused on right now?
@completeskinspa,Hey Complete Skin Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Complete Skin Spa is actively focused on right now?
@cassisaesthetics,Hey Cassis — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Cassis Aesthetics is actively focused on right now?
@mypbwellness,Hey Palm Beach Beauty & Wellness — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Palm Beach Beauty & Wellness is actively focused on right now?
@euphoria.medspa,Hey Euphoria — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Euphoria Aesthetics & Wellness is actively focused on right now?
@explore,Hey VGC Laser Studio — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something VGC Laser Studio is actively focused on right now?
@clubpilatespalmbeachgardens,Hey Aesthetics by Kallee — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Aesthetics by Kallee is actively focused on right now?
@lotuslasermedspa,Hey Lotus Laser & Med Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Lotus Laser & Med Spa is actively focused on right now?
@edenmedicine,Hey Eden Med — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Eden Med is actively focused on right now?
@bettermemedspa,Hey Betterme — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Better Me Medical Spa and Wellness Center is actively focused on right now?
@naylanwellness,Hey Naylan — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Naylan Montes Wellness Spa is actively focused on right now?
@agedefyaesthetics,Hey Agedefy — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Age Defy Aesthetics & Wellness is actively focused on right now?
@pineapplegrovemedspadelray,Hey Pineapple Grove Medical Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Pineapple Grove Medical Spa is actively focused on right now?
@harmony_ecospaboutique,Hey Harmony — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Harmony Eco Spa Boutique is actively focused on right now?
@bespokeskin.studio,Hey Bespoke Skin Studio — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Bespoke Skin Studio is actively focused on right now?
@ashokfkapur,Hey Boca Med Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Boca Med Spa is actively focused on right now?
@elegantyouthmedspa,Hey Elegant Youth MedSpa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Elegant Youth MedSpa is actively focused on right now?
@skinlounge_spa,Hey Skin Lounge Med Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Skin Lounge Med Spa is actively focused on right now?
@lspasrq,Hey Glam R Us Med Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Glam R Us Med Spa is actively focused on right now?
@ovi_pinesaesthetics,Hey Ovi — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Pines Aesthetics is actively focused on right now?
@mellrosemed,Hey Mellrose — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Mellrosemed is actively focused on right now?
@pieros_alternative,Hey Pieros — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Lady Bella's Med Spa is actively focused on right now?
@ultimatebodyspa,Hey Ultimate Body Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Ultimate Body Spa is actively focused on right now?
@gvo.glo,Hey Gvo — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something GVO GLO Aesthetics is actively focused on right now?
@peacelovemedspa,Hey Venus Med Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Venus Med Spa is actively focused on right now?
@novawcenter,Hey Novaw — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Nova Wellness Center is actively focused on right now?
@infuziomedspa,Hey Infuzio — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Infuzio is actively focused on right now?

--- FOLLOW UP BY EMAIL (no Instagram handle) ---,
COSMETICA MED SPA,
Zarreii Medical and Aesthetics,
Ideal Image Coral Springs,
4Ever Young West Palm Beach,
Ideal Image Boca Raton,
Icon MD Medical Spa,
4Ever Young Delray Beach,
MedClub by Dr. Jenn,
4Ever Young Med Spa & Wellness Center - Boca Raton,
4Ever Young Med Spa & Wellness Center West Palm Beach (formerly Ideal Image),
Icon MD Medical Spa + Laser Center Boca Raton,
4Ever Young Med Spa & Wellness Center - Delray Beach,
Alluring Image Medspa and Wellness,
Liquivida Wellness Center | Coral Springs,
4Ever Young Med Spa & Wellness Center - Parkland,
Five Elements Medical Spa & Wellness Center in Deerfield Beach,
Delray Laser and Medical Spa - Body Contouring | Laser Hair Removal,
Well Labs+ Medspa Coconut Creek (formerly Hello Gorgeous),
Magic Touch Medical Esthetician By Sandra Maltese,
Serenity Massages of the Palm Beaches,
Lolla Spa - Advanced aesthetics Medspa,
Advanced Med SPA - Deerfield Beach,
Illume MD: Aesthetic Art & Wellness,
Liquivida Wellness Center | Palm Beach Gardens - PGA,
Vanity Skin & laser,
BareFace Aesthetics - Facial Spa & Skin Treatment,
Doctor BG Med | Excellence Health Well-being and Longevity,
AlluraMD Boca Raton (formerly The Box Med Spa),
Green Dermatology & Cosmetic Center,
Dash Medical Spa and Laser Center,
MedClub Testosterone & Bioidentical Hormones,
SK Esthetics,
Pulsar Health - Dr. Roop Monica Gill,
Sakara Spa Formerly Known as Belly Love Spa,
King Skin Health,
Ana Csere Skin Care - Facial Spa,
Boca Laser & Medical Spa + Wellness,
Daily Skin Solutions by JoAnn Francis,
Apex Aesthetics and Wellness (Jason Kwiatkowski PA-C),
Avastar Cryo - Delray Beach,
Revive Point Welness Spa Boca,
Preventive Health and Wellness Center,
Rejuvenate Day Spa,
LifeGaines Med Spa,
Seen Aesthetics,
Emarie Lucille Med Spas,
Martina’s Spa of Deerfield Beach,
Stay Young Health + Wellness Institute,
The Laser Professionals,
Pure Elements Medical Spa LLC,
Romei Med Spa | Laser Hair Removal,
Aquamed Medspa,
"Ava Beauty Medical Aesthetics, LLC",
Evolution Rejuvenation Center,
All About Aesthetics Med Spa,
CENTRO DDL BIOESTÉTICA INTEGRAL,
